modelo,fold_repetition,accuracy,precision,recall_sensibilidad,f1,roc_auc
LDA,22,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9832951195545365
LDA,23,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9957010582010581
LDA,24,0.9298245614035088,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9857804232804233
LDA,25,0.9734513274336283,1.0,0.9285714285714286,0.9629629629629629,0.9966465459423206
LDA,26,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9924664264657714
LDA,27,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9990173599737964
LDA,28,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9788359788359788
LDA,29,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9927248677248677
LDA,30,0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9993293091884642
LDA,31,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.9842777595807403
LDA,32,0.956140350877193,0.975,0.9069767441860465,0.9397590361445783,0.9796921061251228
LDA,33,0.9649122807017544,1.0,0.9047619047619048,0.95,1.0
LDA,34,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,1.0
LDA,35,0.8938053097345132,0.96875,0.7380952380952381,0.8378378378378378,0.9872568745808181
LDA,36,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9908286930887651
LDA,37,0.9473684210526315,1.0,0.8604651162790697,0.925,0.9882083196855551
LDA,38,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
LDA,39,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9996693121693122
LDA,40,0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9929577464788732
LDA,41,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9957418932197838
LDA,42,0.9473684210526315,1.0,0.8604651162790697,0.925,0.9806747461513265
LDA,43,1.0,1.0,1.0,1.0,1.0
LDA,44,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9867724867724867
LDA,45,0.9380530973451328,1.0,0.8333333333333334,0.9090909090909091,0.9899396378269618
LDA,46,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9970520799213888
LDA,47,0.9298245614035088,1.0,0.813953488372093,0.8974358974358975,0.996069439895185
LDA,48,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9930555555555555
LDA,49,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9937169312169313
LDA,50,0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9812206572769953
KNN,1,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9729773992793973
KNN,2,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.9977071732721913
KNN,3,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9828042328042328
KNN,4,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.998015873015873
KNN,5,0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9802146210596915
KNN,6,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9798558794628234
KNN,7,0.9385964912280702,0.9736842105263158,0.8604651162790697,0.9135802469135802,0.981329839502129
KNN,8,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609
KNN,9,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9976851851851852
KNN,10,0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9852448021462106
KNN,11,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9588928922371438
KNN,12,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.996069439895185
KNN,13,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9702380952380952
KNN,14,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9859457671957672
KNN,15,0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9862508383635145
KNN,16,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9731411726170979
KNN,17,0.956140350877193,0.975,0.9069767441860465,0.9397590361445783,0.9816573861775302
KNN,18,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9970238095238095
KNN,19,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,0.9983465608465608
KNN,20,0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994634473507713
KNN,21,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9719947592531936
KNN,22,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.9963969865705864
KNN,23,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9816468253968254
KNN,24,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9816468253968254
KNN,25,0.9823008849557522,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9984909456740443
KNN,26,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.981329839502129
KNN,27,1.0,1.0,1.0,1.0,1.0
KNN,28,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9976851851851852
